Ranking;Rodovia;Sobreposições existentes;UF;Região;Município inicial;Município final;Jurisdição;Gestão;Extensão pesquisada (KM);Escalas de extensão;Classificação geral
138;BR-020;-;CE;Nordeste;Eusébio;Parambu;Federal;Pública;440;Mais de 250 km até 500 km;Bom
137;BR-293;BR-158;RS;Sul;Quaraí;Pelotas;Federal;Pública;436;Mais de 250 km até 500 km;Bom
136;BR-070;-;GO;Centro-Oeste;Jaraguá;Itaberaí;Federal;Pública;62;Até 100 km;Bom
135;RS-040;-;RS;Sul;Viamão;Balneário Pinhal;Estadual;Concessionada;83;Até 100 km;Bom
134;BR-432;-;RR;Norte;Cantá;Caracaraí;Federal;Pública;184;Mais de 100 km até 250 km;Bom
133;BR-101;-;PE;Nordeste;Goiana;Xexéu;Federal;Pública;240;Mais de 100 km até 250 km;Bom
132;BR-101;BR-104, BR-416;AL;Nordeste;Novo Lino;Porto Real do Colégio;Federal;Pública;262;Mais de 250 km até 500 km;Bom
131;BR-163;BR-070, BR-364;MT;Centro-Oeste;Sinop;Itiquira;Federal;Concessionada;843;Mais de 500 km;Bom
130;BR-153;BR-290, BR-473;RS;Sul;Novo Cabrais;Aceguá;Federal;Pública;325;Mais de 250 km até 500 km;Bom
129;BR-262;BR-040, BR-050, BR-153, BR-354, BR-364, BR-381, BR-464;MG;Sudeste;Belo Horizonte;Fronteira;Federal;Concessionada;670;Mais de 500 km;Bom
128;BR-418;-;BA;Nordeste;Caravelas;Mucuri;Federal;Pública;125;Mais de 100 km até 250 km;Bom
127;BR-158;BR-070, BR-242, BR-251;MT;Centro-Oeste;Vila Rica;Pontal do Araguaia;Federal;Pública;661;Mais de 500 km;Bom
126;BR-393;BR-040, BR-116;RJ;Sudeste;Carmo;Volta Redonda;Federal;Concessionada;198;Mais de 100 km até 250 km;Bom
125;PR-323;-;PR;Sul;Sertaneja;Londrina;Estadual;Concessionada;61;Até 100 km;Bom
124;BR-251;BR-116, BR-122, BR-365;MG;Sudeste;Pedra Azul;Montes Claros;Federal;Pública;368;Mais de 250 km até 500 km;Bom
123;SP-322;BR-265;SP;Sudeste;Icém;Bebedouro;Estadual;Pública;105;Mais de 100 km até 250 km;Bom
122;BR-222;BR-403;CE;Nordeste;Fortaleza;Ubajara;Federal;Pública;360;Mais de 250 km até 500 km;Bom
121;RS-287;BR-153, BR-287, BR-470, BR-471;RS;Sul;Montenegro;Paraíso do Sul;Estadual;Concessionada;157;Mais de 100 km até 250 km;Bom
120;BR-364;BR-174;MT;Centro-Oeste;Comodoro;Diamantino;Federal;Pública;767;Mais de 500 km;Bom
119;BA-262;BR-407;BA;Nordeste;Brumado;Vitória da Conquista;Estadual;Pública;126;Mais de 100 km até 250 km;Bom
