,position,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
CONS CONCORDIA,"(-52.026, -27.2335)",8.0,7.426,0.172,30.0,7.386,0.333
CONS SAO JERONIMO,"(-51.7251, -29.9716)",6.0,,,,,
CONS CAMPOS NOVOS,"(-51.2276, -27.4002)",18.0,,,,,
CONS BARROS CASSAL,"(-52.5836, -29.0947)",2.0,,,,,
CONS VERA CRUZ,"(-52.5152, -29.7184)",2.0,,,,,
CONS VENANCIO AIRES,"(-52.1932, -29.6143)",10.0,,,,,
CONS IBIRUBA,"(-53.0961, -28.6302)",3.0,,,,,
CONS ENCANTADO,"(-51.8703, -29.2351)",6.0,,,,,
CONS MANCIO LIMA,"(-72.8997, -7.61657)",6.0,,,,,
CONS RODRIGUES ALVES,"(-72.661, -7.73864)",6.0,,,,,
CONS PORTO ACRE,"(-67.5478, -9.58138)",7.0,,,,,
CONS RIO BRANCO,"(-67.8243, -9.97499)",7.0,7.591,0.13,140.0,7.936,0.347
CONS ITACOATIARA,"(-58.4449, -3.13861)",306.0,7.872,0.129,48.0,8.005,0.438
CONS MORRO DO CHAPEU,"(-41.1565, -11.5488)",21.0,,,,,
CONS SEABRA,"(-41.7722, -12.4169)",9.0,,,,,
